v_products_options_values_id,v_language_id,v_products_options_values_name
206724,1,"8""L x 14""W"
206725,1,"8.4 Fl Oz"
206726,1,"8.5 Fl Oz"
206727,1,"8.5 Lb"
206728,1,"8.5""L x 8.5""W"
206729,1,"8.5""L x 16.5""W x 5.5""H"
206730,1,"8.8 Fl Oz"
206731,1,"8.8 Lb"
206732,1,"8.8 Oz"
206733,1,"9 Count"
206734,1,"9 Lb"
206735,1,"9 Oz"
206736,1,"9 in"
206737,1,"9""L x 0.75""W"
206738,1,"9""L x 0.625""W"
206739,1,"9""L x 1""W"
206740,1,"9""L x 9""W"
206741,1,"9""L x 12""W"
206742,1,"9.4 Lb"
206743,1,"9.5 Lb"
206744,1,"9.5 in"
206745,1,"9.5 mm"
206746,1,"9.5""L x 0.75""W"
206747,1,"9.8 Fl Oz"
206748,1,"9.9 Gal"
206749,1,"9.9 Lb"
206750,1,"9.25""L x 9.25""W x 2.75""H"
206751,1,10
206752,1,"10 Count"
206753,1,"10 Fl Oz"
206754,1,"10 Ft"
206755,1,"10 Lb"
206756,1,"10 Oz"
206757,1,"10 Qt"
206758,1,"10 in"
206759,1,"10""L x 0.75""W"
206760,1,"10""L x 0.375""W"
206761,1,"10""L x 0.625""W"
206762,1,"10""L x 13""W x 10""H"
206763,1,"10""L x 16.5""W x 4.25""H"
206764,1,"10""L x 18""W"
206765,1,"10'L x 6'W x 6'H"
206766,1,"10'L x 10'W x 6'H"
206767,1,"10.1 Fl Oz"
206768,1,"10.3 Lb"
206769,1,"10.4 Oz"
206770,1,"10.5 Fl Oz"
206771,1,"10.5 Oz"
206772,1,"10.5""L x 0.75""W"
206773,1,"10.98 Fl Oz"
206774,1,"11 Count"
206775,1,"11 Fl Oz"
206776,1,"11 Lb"
206777,1,"11 Oz"
206778,1,"11 in"
206779,1,"11""L x 14""W x 20""H"
206780,1,"11""L x 23.5""W"
206781,1,"11.3 Oz"
206782,1,"11.4 Oz"
206783,1,"11.5 Lb"
206784,1,"11.5""L x 18""W"
206785,1,"11.6 Oz"
206786,1,"11.75""L x 19""W"
206787,1,"11.85 Oz"
206788,1,12
206789,1,"12 Count"
206790,1,"12 Ct"
206791,1,"12 Fl Oz"
206792,1,"12 Ft"
206793,1,"12 Lb"
206794,1,"12 Oz"
206795,1,"12 Qt"
206796,1,"12 in"
206797,1,"12""L x 0.375""W"
206798,1,"12""L x 0.625""W"
206799,1,"12""L x 5.5""W x 2.5""H"
206800,1,"12""L x 12""W x 11""H"
206801,1,"12""L x 19""W"
206802,1,"12""L x 20""W"
206803,1,"12.1 Fl Oz"
206804,1,"12.3 Oz"
206805,1,"12.5 Lb"
206806,1,"12.5 Oz"
206807,1,"12.5""L x 18.5""W"
206808,1,"12.6""L x 12.2""W x .3""H"
206809,1,"12.7 Fl Oz"
206810,1,"12.7 Oz"
206811,1,"12.8 Fl Oz"
206812,1,"12.8 Oz"
206813,1,"12.9  Oz"
206814,1,"12.9""L x 8.75""W x 4.75""H"
206815,1,"12.25 in"
